Index,A-191107-11cm-1,A-191107-11cm-2,A-191107-1cm-1,A-191107-1cm-2,A-191107-6cm-1,A-191107-6cm-2,A-191107-LW-1,A-191107-LW-2,A-191107-scum-1,A-191107-scum-2,A-191220-11cm-1,A-191220-11cm-2,A-191220-1cm-1,A-191220-1cm-2,A-191220-6cm-1,A-191220-6cm-2,A-191220-LW-1,A-191220-LW-2,A-200225-10cm-1,A-200225-10cm-2,A-200225-15cm-1,A-200225-15cm-2,A-200225-1cm-1,A-200225-1cm-2,A-200225-5cm-1,A-200225-5cm-2,A-200225-LW-1,A-200404-11cm-1,A-200404-11cm-2,A-200404-1cm-1,A-200404-1cm-2,A-200404-6cm-1,A-200404-6cm-2,A-200404-LW-1,A-200404-LW-2,A-200506-LW-1,A-200506-LW-2,A-200701-LW-1,A-200701-LW-2,A-200731-11cm-1,A-200731-11cm-2,A-200731-15cm-1,A-200731-15cm-2,A-200731-16cm-1,A-200731-16cm-2,A-200731-20cm-1,A-200731-20cm-2,A-200731-6cm-1,A-200731-6cm-2,A-200731-LW-1,A-200731-LW-2,A-200731-WaterSurfaceMat-1,A-200731-WaterSurfaceMat-2,A-200912-LW-1,A-200912-LW-2,A-201008-10cm-1,A-201008-10cm-2,A-201008-1cm-1,A-201008-1cm-2,A-201008-6cm-1,A-201008-6cm-2,A-201008-LW-1,A-201008-LW-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Arthrospira_PCC-7345;s__uncultured_cyanobacterium,3,0,72,83,20,0,0,0,1302,395,0,0,23,35,0,0,0,0,0,0,0,0,7,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,9,0,0,626,626,0,0,0,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__,51,15,2003,1444,366,43,0,0,1140,1026,34,47,797,989,58,0,0,15,37,38,0,0,360,320,0,92,11,9,95,175,300,315,77,102,0,0,0,0,0,40,45,58,1133,0,35,72,363,78,778,55,73,872,807,84,286,39,192,589,252,159,259,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031;s__uncultured_organism,431,121,396,330,1436,2017,0,0,142,98,590,520,859,665,952,1113,0,0,1647,2607,202,1289,252,384,3031,3991,0,259,1610,163,126,37,899,0,0,0,0,0,0,831,1678,1381,526,484,597,39,249,3261,581,34,0,93,63,0,0,128,164,186,157,130,353,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Pontimonas;s__Pontimonas_salivibrio,0,6,0,0,0,0,41,31,0,0,22,40,11,23,23,0,187,176,31,53,53,34,0,0,31,15,288,0,59,18,14,0,0,0,0,0,0,0,0,0,10,14,0,0,0,89,245,0,15,392,546,0,0,0,0,0,0,22,15,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia;__,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,7,0,5,14,16,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__AKAU3564_sediment_group;s__uncultured_bacterium,27,0,0,8,55,35,0,0,0,0,8,18,56,148,29,35,0,0,221,235,16,91,27,68,123,55,0,30,17,161,43,0,364,0,0,0,0,0,0,63,166,14,243,76,24,0,62,47,202,0,0,12,0,0,0,125,119,135,259,194,1371,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;__,43,19,248,148,108,111,0,0,75,42,70,91,291,121,231,156,0,18,248,546,67,116,77,110,289,74,11,0,35,87,50,284,38,0,0,18,0,0,0,43,44,56,103,24,51,4,63,21,59,48,47,27,35,0,0,11,218,75,126,37,56,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Archaea;__;__;__;__;__;__,8,0,0,0,0,0,0,0,0,0,0,31,11,0,20,24,0,0,34,89,468,145,5,6,0,16,0,119,204,1207,347,28,119,0,0,0,0,0,0,47,27,64,18,33,130,115,301,25,45,0,0,0,0,0,0,908,102,264,442,1027,138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia;s__crenarchaeote_enrichment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__uncultured;__,0,0,614,370,152,0,0,18,42,12,0,0,812,493,23,0,13,41,0,33,17,0,149,224,25,12,53,0,0,288,431,369,0,0,0,0,0,0,0,0,20,74,867,7,28,12,138,36,826,0,23,103,81,0,0,56,92,1259,626,471,194,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Sva0485;c__Sva0485;o__Sva0485;f__Sva0485;g__Sva0485;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseibaca;s__uncultured_bacterium,0,0,678,514,165,0,0,0,457,323,0,0,107,161,0,27,0,0,31,42,0,33,55,0,0,27,0,0,0,0,0,51,8,0,0,0,0,0,0,0,0,23,141,0,35,19,34,0,93,54,31,256,243,0,0,20,215,41,31,21,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Rhodohalobacter;s__uncultured_bacterium,11,18,140,105,48,0,0,0,0,0,0,0,308,211,0,21,0,0,0,0,0,22,62,114,0,19,13,0,54,440,359,0,43,0,0,0,0,0,0,0,0,0,303,0,0,67,27,0,443,0,0,40,37,0,0,68,72,1094,605,615,85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalocapsa;s__uncultured_organism,0,0,383,285,83,10,0,0,0,0,0,0,436,295,28,12,0,0,0,24,9,12,103,125,0,0,0,0,67,0,52,15,0,0,0,0,0,0,0,0,0,0,180,7,0,0,0,0,186,12,0,49,52,0,0,12,14,193,141,72,69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia;s__uncultured_crenarchaeote,0,0,0,0,13,9,0,0,0,0,0,3,0,0,14,6,0,0,48,70,0,16,7,0,17,20,0,0,20,9,0,0,0,0,0,0,0,0,0,11,52,39,0,15,5,0,13,55,0,0,0,0,0,0,0,24,11,0,5,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Marine_Benthic_Group_D_and_DHVEG-1;f__Marine_Benthic_Group_D_and_DHVEG-1;g__Marine_Benthic_Group_D_and_DHVEG-1;s__uncultured_Thermoplasmatales,0,0,17,20,15,20,0,0,0,0,26,16,213,277,138,138,0,0,290,334,166,414,98,128,60,221,0,214,865,496,222,68,582,0,0,0,0,0,0,175,233,380,452,332,286,18,162,242,545,22,0,30,28,0,0,350,180,544,581,474,739,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Sediminispirochaeta;__,38,11,54,53,31,12,0,0,0,9,12,17,246,178,29,17,0,0,67,71,31,39,64,106,91,119,0,29,18,544,276,0,122,0,0,0,0,0,0,12,26,86,234,10,0,9,47,0,219,6,0,36,43,0,0,236,151,338,379,337,243,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__uncultured;s__uncultured_organism,0,5,142,67,34,16,0,0,0,0,131,88,370,265,43,56,0,0,106,244,117,192,145,132,31,64,0,268,512,1194,836,24,129,0,0,0,0,0,0,79,79,77,370,62,351,74,489,42,678,34,0,6,0,0,0,844,252,935,1071,1867,309,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured;s__uncultured_organism,206,157,207,171,561,757,0,0,27,14,319,244,258,237,310,405,0,0,878,1117,590,659,78,181,568,961,0,258,431,107,89,372,312,0,0,0,0,0,0,321,633,396,225,241,502,111,594,441,255,10,0,26,21,0,0,133,128,92,175,106,155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__uncultured;s__soda_lake,0,0,19,17,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,1527,49,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,16,0,0,0,0,44,0,8,57,42,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Marinobacteraceae;g__Marinobacter;__,33,23,438,335,107,47,0,0,38,29,0,20,878,482,0,13,0,13,19,31,0,13,165,189,22,21,0,0,35,361,268,35,54,0,0,0,0,0,0,12,0,0,463,0,0,13,114,0,611,84,39,92,103,0,0,73,76,836,351,192,184,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Dactylococcopsis_PCC-8305;s__uncultured_organism,7,0,484,571,199,0,0,0,0,0,0,0,355,520,0,0,0,0,0,0,0,0,242,213,3,4,0,0,67,79,147,21,6,0,0,0,0,0,0,3,0,0,532,0,0,0,49,6,389,19,0,14,16,0,0,8,40,292,119,142,215,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
